run_number,average_bic,bic_control,bic_cocaine,overall_accuracy,model_specification,model_summary,version,instructions_used,bias_recovery,beta_self_recovery,beta_ineq_recovery,beta_contrib_recovery,beta_fairness_recovery,inequity_weight_recovery,intercept_recovery,w_offered_recovery,w_fairness_recovery,fairness_weight_recovery,beta1_recovery,beta2_recovery,gamma_recovery,alpha_recovery,beta_recovery,inequity_aversion_recovery,baseline_recovery,offer_weight_recovery,w_self_recovery,w_fair_recovery,alpha_fairness_recovery,beta_fair_recovery,kappa_self_recovery,kappa_disadv_recovery,theta_recovery,weight_self_recovery,weight_DI_recovery,weight_AI_recovery,penalty_ineq_recovery,delta_recovery
20,32.598141021526224,28.051983435687685,36.670740525506574,0.8113553113553112,"utility = intercept + (weight_self * split_self) + (penalty_ineq * max(merit_share - split_self, 0))
merit_share = combined_earning * token_self / (token_self + token_opp)","This model predicts a responder's decision to accept or reject a proposed division of money based on three mechanisms: the absolute amount offered to self (self-interest), the deviation below a merit-based fair share (inequity aversion), and a baseline bias to accept. The perceived fair share is computed from the responder's relative token contribution. The utility for each trial is the sum of these influences and is transformed to acceptance probability by the logistic function.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,0.8756294287947155,,,,,,,,,,,,,,,,,,,0.6482504859870498,,,0.7315750898917976,
4,32.74967484750011,28.351555100764983,36.689657120617,0.7832722832722832,U = intercept + w_offered * (split_self / combined_earning) + w_fairness * ((split_self / combined_earning) - (token_self / (token_self + token_opp))),"A proportional fairness model for responder behavior in a group resource division task. Utility is a weighted sum of the share offered to self (relative to total), the deviation from proportional fairness (what is offered minus what is deserved, based on actual contributions), and a baseline bias. Three learnable parameters (intercept, offered weight, fairness weight) are constrained to [-10, 10]. The model provides strong parameter recoverability and interpretable effects, balancing parsimony and explanatory power.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,0.8815255783011746,0.4536147740647156,0.5629443244323822,,,,,,,,,,,,,,,,,,,,,
10,32.822216241151246,27.580564943790034,37.51786219503733,0.7704517704517705,U = baseline + fairness_weight * (split_self - (combined_earning * token_self / (token_self + token_opp))),This model computes responder utility as the sum of a base bias and a fairness sensitivity term. The fairness term is the difference between the money offered to the responder and what they would have received based on their relative contribution to the pot. Utility is transformed via a logistic function to predict probability of acceptance. The model has two learnable parameters: a fairness weight (allowing asymmetric valuation of unfair offers) and a baseline bias.,v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,0.8161900410778208,,,,,,,0.8677133542180278,,,,,,,,,,,,,
3,32.843901319225544,27.580985000148853,37.558597188398416,0.764041514041514,U = bias + inequity_weight * (split_self - (combined_earning * (token_self / (token_self + token_opp)))),"A contribution-based inequity aversion model for predicting binary responder behavior: acceptance utility is the sum of an individual baseline bias and a weighted difference between the proposed share and the responder's contribution-proportional fair share of the available money. Logistic choice rule (temperature 1) is used to link utility to the observed accept/reject response. Two learnable parameters: one for acceptance bias, and one for sensitivity to disadvantageous inequity relative to contribution.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.644160254663821,,,,,0.7357462280268308,,,,,,,,,,,,,,,,,,,,,,,,
9,33.16416074763337,27.935745416122217,37.847949482112114,0.7576312576312576,"subjective_fair = combined_earning × token_self / (token_self + token_opp)
U = bias – inequity_aversion × max(subjective_fair – split_self, 0)","A two-parameter computational model of responder choice. The utility of an offer is computed as a linear function of bias minus the product of an inequity aversion strength and the shortfall of the offer from the responder's contribution-weighted fair share. This utility is mapped probabilistically to acceptance using a logistic function. Only deviations below the fair share penalize utility, and parameters are bounded for recoverability.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.8476737130002227,,,,,,,,,,,,,,,0.805787187413321,,,,,,,,,,,,,,
18,34.22156945251409,26.268269731653984,41.34640045245126,0.7994505494505495,"utility = split_self - theta * max(0, ((token_self / (token_self + token_opp)) * combined_earning - split_self))","This model predicts responder behavior by combining the absolute monetary gain from accepting an offer and a penalty for being offered less than a contribution-based entitlement. The penalty is only applied if the offer is less than entitled. The model has one learnable parameter, theta, reflecting sensitivity to disadvantageous entitlement violations, and is designed to enable clear parameter recovery and interpretability.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,,,,,,,,,,,,,0.9287938917775006,,,,,
13,35.72178971538055,31.05767068301422,39.900063015208715,0.7213064713064713,"U = beta_self * split_self - alpha_fairness * max(0, (token_self / (token_self + token_opp) - split_self / combined_earning))","A two-parameter utility model for responder behavior that combines the value of the offered amount (split_self) and a penalty for receiving less than one's deserved share (proportional to one's own contribution). The model predicts acceptance using a weighted sum of the offer and fairness penalty, with parameters for monetary reward weighting and fairness aversion, both bounded between 0 and 5.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,0.8324750752472463,,,,,,,,,,,,,,,,,,,0.23553023748520902,,,,,,,,,
21,36.386212915509596,32.2553762463303,40.08675409831604,0.7442002442002442,U = gamma * (split_self / combined_earning) - theta * abs((split_self / combined_earning) - (token_self / (token_self + token_opp))) + delta,"A three-parameter responder model predicting the probability of acceptance by combining sensitivity to absolute share (own payoff as a proportion), sensitivity to fairness (distance from deserved share based on relative contributions), and an idiosyncratic bias. The model can flexibly capture payoff maximization, fairness preference, or entitlement-driven strategies, using only variables directly specified in the dataset and is robust to parameter identifiability concerns.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,0.32778866267855516,,,,,,,,,,,,0.3133353549749973,,,,,0.8879865685718551
12,37.339228149464056,34.7942094223579,39.61914075916332,0.81990231990232,"contrib_fair_share = combined_earning * (token_self / (token_self + token_opp))
fairness_deviation = split_self - contrib_fair_share
utility = w_self * split_self + w_fair * fairness_deviation + bias","This is a linear utility model for responder choice that combines sensitivity to one's own monetary payoff and to deviations from the fair share based on individual contribution. The model predicts acceptance if the weighted sum of personal gain, fairness deviation, and an overall bias exceeds zero (after logistic transformation). There are three learnable parameters: weight on self-interest, weight on fairness deviation, and a bias term.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.710482643267311,,,,,,,,,,,,,,,,,,0.6776478002990607,0.8380839996005356,,,,,,,,,,
19,37.99949216897891,31.54012449711001,43.7860090416948,0.8015873015873015,"fair_share = combined_earning * (token_self / (token_self + token_opp))
DI = max(fair_share - split_self, 0)
AI = max(split_self - fair_share, 0)
U = bias + weight_self * split_self - weight_DI * DI - weight_AI * AI","A parsimonious inequity aversion model for responder acceptance, combining absolute self-gain, disadvantageous inequity aversion, and advantageous inequity aversion. The model flexibly calibrates each participant’s sensitivity to monetary self-gain, unfair disadvantage, and (to a lesser extent) unfair advantage, with a bias term capturing individual baseline tendencies.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.7988670973897465,,,,,,,,,,,,,,,,,,,,,,,,,0.6718562094967278,0.7035934333111553,0.47604541470285916,,
