run_number,average_bic,bic_control,bic_cocaine,overall_accuracy,model_specification,model_summary,version,instructions_used,weight_fairness_recovery,bias_generosity_recovery,w_fair_recovery,bias_recovery,fairness_weight_recovery,selfish_default_recovery,sensitivity_recovery,generosity_bias_recovery,sigma_noise_recovery,alpha_prop_recovery,beta_self_recovery,gamma_0_recovery,fairness_coef_recovery,intercept_recovery,theta_fair_recovery,theta_equal_recovery,theta_selfish_recovery,base_generosity_recovery,weight_egalitarian_recovery,alpha_recovery,weight_equity_recovery,noise_sd_recovery,alpha_fairness_weight_recovery,beta_generosity_offset_recovery,weight_fair_recovery,bias_opponent_recovery,gamma_recovery,psi_recovery,lambda_param_recovery,weight_contrib_recovery
25,-11.438993742555903,-225.7427502705536,180.54145481377537,,proposed_perc = w_fair * 100 * (token_opp / (token_opp + token_self)) + (1 - w_fair) * 50 + bias,"A two-parameter model of proposer offers: predicted offers are a weighted sum of the fairness norm (opponent's proportional contribution) and a generic 50/50 split, with a stable individual bias term. All learnable parameters have generous, finite bounds to facilitate parameter recovery, and the model structure is robust to identifiability issues for short datasets.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,1.0,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-5.579722891909922,-210.26093656877816,177.78053102695122,,proposed_perc_pred = alpha * (100 * token_opp / (token_self + token_opp)) + (1 - alpha) * 50 + bias,"A two-parameter, linearly-weighted fairness model of proposer behavior, combining proportional fairness based on relative token contributions (alpha) and a global offering bias. The predicted offer is an interpolation between the fair share (by contribution) and pure equality, adjusted by an individual-level bias.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,1.0,,,,,,,,,,,,,,,,0.9999999999999981,,,,,,,,,,
3,6.894794960032117,-196.4568713471727,189.06399602690308,,proposed_perc = fairness_weight * 100 * token_opp / (token_opp + token_self) + (1 - fairness_weight) * selfish_default,"A convex combination model where the proposer anchors their offer as a weighted sum of the proportionally fair split (based on contribution) and a personal default/selfish offer. The fairness_weight parameter governs the influence of proportional fairness versus self-interest, with the selfish_default parameter setting the baseline offer anchor. The model directly predicts the percentage of the pot proposed to the opponent, ensuring parsimony and identifiability for small-n settings.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,0.999999999992582,0.9999999999896755,,,,,,,,,,,,,,,,,,,,,,,,
23,36.26553032057932,-152.198164864501,205.0975905905471,,"\[
\text{predicted\_perc} = 100 \times (\text{weight\_contrib} \times C_{rel} + \text{weight\_fair} \times 0.5) + \text{bias}
\]
where \[
C_{rel} = \frac{\text{token\_opp}}{\text{token\_self} + \text{token\_opp}}
\]","A parsimonious linear model for proposer decisions, predicting the percentage offered to the opponent as a convex combination of relative contribution (opponent's share of tokens found) and an equal-split fairness anchor, plus an individual bias parameter. The model uses three learnable parameters to capture sensitivity to contribution, generic fairness, and personal generosity, providing interpretable and identifiable modeling of proposer behavior in the task.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,0.7027436708914103,,,,,,,,,,,,,,,,,,,,,0.3022828077361773,,,,,0.9999999999999959
4,77.04729082993819,-77.19722740750426,215.2246717509804,,predicted_proposed_perc = bias + sensitivity * (100 * token_opp / (token_opp + token_self)),A linear computational model that predicts the proposed percentage offered by the participant (as proposer) based on the relative contribution of the opponent to the shared pot. The model includes two learnable parameters: a bias parameter controlling overall generosity/selfishness and a sensitivity parameter capturing how strongly the proposal tracks the fair share given by relative contribution.,v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,0.9999999999999885,,,0.99999999999999,,,,,,,,,,,,,,,,,,,,,,,
22,170.46473372645025,-55.48713027350476,372.8799452264099,,predicted_proposed_perc = (1 - lambda_param) * 50 + lambda_param * (token_opp / (token_self + token_opp)) * 100,"A single-parameter equity/equality mixture model. The proposer’s offer is modeled as a weighted average of “50%” (equal split) and proportional division by contributions (“equity”), controlled by lambda_param. The model makes interpretable predictions of proposer behavior while maximizing parameter recoverability.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999996,
10,174.99915049182863,53.30015523266814,284.0211670781599,,"share_fair = 100 * token_opp / (token_opp + token_self)
share_equal = 50
share_selfish = 0

denom = exp(theta_fair) + exp(theta_equal) + exp(theta_selfish)

w_fair = exp(theta_fair) / denom
w_equal = exp(theta_equal) / denom
w_selfish = exp(theta_selfish) / denom

predicted_proposed_perc = w_fair * share_fair + w_equal * share_equal + w_selfish * share_selfish","A three-parameter model that predicts proposals as a softmax-weighted blend of three motives: proportional fairness (based on relative contributions), equal split (50%), and pure self-interest (offering 0%). The model uses three bounded, learnable parameters for these tendencies. It generates proposer offers using only the tokens found by the participant and opponent on each trial.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,,,0.5851570965365361,0.6034879849953712,0.6648399065021393,,,,,,,,,,,,,
6,373.6289117063548,358.33112114298024,387.33318241937786,,"U = gamma_0
    + alpha_prop * (proportional_share - p̂)
    + beta_self * (split_self / combined_earning)
p̂ = 100 / (1 + exp(-U))","A three-parameter model of proposer behavior in which the predicted share offered to the opponent is determined by a weighted combination of deviation from proportional fairness (based on token contributions), motivation to retain a high self-share (relative to the pot size), and a baseline bias. The model transforms the latent utility linearly and maps it to the 0–100% output range using a sigmoidal function, allowing accurate fit to observed proposals while minimizing parameter covariance.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,0.7394822516676118,0.15154154725375168,0.6444324947351439,,,,,,,,,,,,,,,,,,
19,407.6638022114612,394.78077232524106,419.2048498178667,,proposed_perc = 100 * (token_opp / (token_self + token_opp)) + bias_opponent,A fairness-reference point model where the predicted offer (proposed_perc) is the 'earned' share by the opponent (based on relative token contributions) plus a participant-specific bias parameter capturing systematic generosity or selfishness. The model prioritizes parsimony and parameter recoverability by using just one bias parameter and no fit over fairness weight.,v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
12,462.3153693567881,448.7431234191108,474.4738396759573,,"predicted_proposed_perc = fairness_weight * (100 * token_opp / (token_self + token_opp)) + (1 - fairness_weight) * base_generosity + Normal(0, sigma_noise)","A weighted fairness model that predicts the proposer's offer percentage as a combination of proportional fairness (opponent's contribution relative to the total) and a baseline generosity parameter, plus Gaussian noise for response variability. The only free parameters are the weighting of fairness versus baseline generosity and the base generosity itself, allowing for interpretable, minimally covarying psychological factors.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,0.2173363938807846,,,,0.028971170724434198,,,,,,,,,0.3276109830006596,,,,,,,,,,,,
