run_number,average_bic,bic_control,bic_cocaine,overall_accuracy,model_specification,model_summary,version,instructions_used,fairness_weight_recovery,bias_recovery,intercept_recovery,proposer_bias_recovery,noise_sd_recovery,alpha_recovery,w_merit_recovery,sigma_recovery,baseline_deviation_recovery,beta_recovery,generosity_recovery,weight_recovery,bias_param_recovery,weight_fair_recovery,sigma_noise_recovery,base_recovery,self_bias_recovery,noise_std_recovery,gamma_recovery,base_generosity_recovery,baseline_offer_recovery,merit_weight_recovery,minimum_perc_recovery,selfishness_bias_recovery,choice_noise_recovery,selfish_baseline_recovery
9,-6.64640977855222,-214.37189951003015,179.44100810589677,,proposed_perc = alpha * 100 * (token_opp / (token_opp + token_self)) + (1 - alpha) * 50 + generosity,"A parsimonious two-parameter model of proposer behavior: The predicted offer is a weighted combination of proportional fairness (based on relative contributions to the pot) and a 50:50 fairness norm, plus an additive generosity bias. The weight (alpha) captures the tendency to use contribution versus equality, and the generosity parameter reflects overall prosocial/antisocial disposition. The model directly predicts the percent of the pot offered to the opponent on proposer rounds.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,0.9999999999999996,,,,,0.9999999999999999,,,,,,,,,,,,,,,
17,-1.323496054646402,-203.2918922804689,179.60652556431955,,proposed_perc = gamma * (100 * token_opp / (token_opp + token_self)) + (1 - gamma) * 50 + bias,"A parsimonious linear model in which the proposer blends proportional fairness (weighted by relative contributions) and equal 50/50 splitting, with an additional bias term representing general generosity or selfishness. The model consists of two learnable parameters: the weight for proportional fairness (gamma) and a bias. It predicts the percentage of the pot offered to the opponent as a linear combination of the “fair” proportional split and an equal split, plus bias.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,0.9999999999999997,,,,,,,,,,,,,,,,,0.9999999999997278,,,,,,,
11,10.979698380984907,-197.57673818622675,197.811506139112,,proposed_perc_pred = alpha * (token_opp / (token_self + token_opp)) * 100 + (1 - alpha) * beta,"A weighted-average model of proposer decisions that blends contribution-based fairness with a baseline offer tendency. The proposer’s predicted offer is a convex combination of a “fair share” (proportional to relative token contributions) and a baseline offer parameter, with the blending controlled by a fairness-sensitivity parameter. This parsimonious two-parameter model captures individual differences in fairness adherence and self-interest bias, using only information available at the time of making an offer.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,0.999999999999283,,,,0.999999999998972,,,,,,,,,,,,,,,,
7,14.753473022444261,-166.84773887158102,177.4378920108419,,proposed_perc_pred = intercept + beta * (100 * token_opp / (token_self + token_opp)),A linear model predicting proposal percentage as a function of the opponent's contribution share. The model is parameterized by an intercept (capturing overall generosity or bias) and a fairness-weight beta (scaling the influence of contribution proportionality). Both parameters have wide but finite bounds to ensure identifiability and minimize parameter covariance.,v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,0.9999999999999865,,,,,,,0.9999999999999803,,,,,,,,,,,,,,,,
19,35.38880150831909,-147.26773148166373,199.01861231184537,,proposed_perc_i = baseline_offer + merit_weight * 100 * (token_opp_i / (token_self_i + token_opp_i) - 0.5),A linear merit-based proposer model for the ultimatum game: the predicted offer combines a baseline generosity parameter and a weighted adjustment based on the relative contributions of self and opponent. This parsimonious model involves just two learnable parameters—one specifying baseline offer and one reflecting the participant’s sensitivity to merit—minimizing covariance for robust parameter recovery and interpretability.,v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,,,,,,,,,0.9999999999999999,1.0,,,,
18,36.732594294760766,-143.1526708226519,197.87981096244297,,proposed_perc_pred = base_generosity + fairness_weight * ((token_opp / (token_opp + token_self)) * 100 - 50),"A linear merit-based model predicting the percentage of the pot offered, combining a baseline generosity parameter and a sensitivity to the difference between the fair (merit-based) split and equality. The model includes two learnable parameters: the base (default) generosity and the fairness weight (response to variations in contribution). This yields interpretable, well-identified parameters and is directly applicable to all proposer trials in the dataset.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
15,82.98301288460594,-75.17910686979333,224.6699118312553,,proposed_perc_pred = base + fairness_weight * (100 * token_opp / (token_opp + token_self)),"A linear model predicting the percentage offer made by the proposer as a weighted sum of a stable individual bias (base) and the normalized relative contribution of the opponent. This model captures how much proposers track objective fairness based on group contributions, combined with individual propensities toward generosity or selfishness, using only two learnable parameters for interpretability and parameter recoverability.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.9999999999999811,,,,,,,,,,,,,,,0.9999999999999811,,,,,,,,,,
8,105.79288013442923,-46.48759976581411,242.21081004506388,,"fair_perc = 100 \cdot \frac{token_opp}{token_self + token_opp} \\
proposed_perc = \min(100, \max(0, alpha \cdot fair_perc + (1 - alpha) \cdot 0 + bias))","A parsimonious model of proposer behavior as a linear combination of the proportionally fair offer (based on relative contributions) and fully selfishness (offering 0%), with an idiosyncratic bias. The two learnable parameters are the weight placed on fairness versus selfishness (alpha) and an overall offer bias. The model predicts, for each proposer round, the percentage offered to the opponent, bounded between 0 and 100.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,0.6887429502864002,,,,0.2945121856058229,,,,,,,,,,,,,,,,,,,,
1,253.71281658315831,279.32005202028563,230.7730015040651,,"proposed_perc_pred = fairness_weight * 100 * token_opp / (token_opp + token_self + 1e-8) 
                   + (1 - fairness_weight) * 0 
                   + bias","A two-parameter linear model of proposer behavior, predicting the percentage offered to the opponent as a weighted combination of the context-specific fairness norm (proportional to the opponent’s contribution) and a participant-specific bias. The model is intentionally simple to ensure parameter recovery and minimize redundancy, utilizing token counts from each trial.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.9999999999998831,0.9999999999998528,,,,,,,,,,,,,,,,,,,,,,,,
12,407.6830979382638,394.7807723252412,419.2414312999299,,proposed_perc_pred = 100 × (token_opp / (token_opp + token_self)) + bias_param,"A proportional fairness-plus-bias model of proposer behavior. The participant's offer is predicted as the share of tokens contributed by the opponent, converted to a percentage of the total, with an added bias parameter capturing individual differences in fairness norms or generosity. The single learnable parameter allows for reliable parameter estimation and straightforward interpretation without introducing high covariance.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,0.9999999999999998,,,,,,,,,,,,,
