run_number,average_bic,model_specification,model_summary,version
1,,Error: No samples found in log object,Error: No samples found in log object,v1
2,,Error: No samples found in log object,Error: No samples found in log object,v1
3,,Error: No samples found in log object,Error: No samples found in log object,v1
4,,Error: No samples found in log object,Error: No samples found in log object,v1
5,,Error: No samples found in log object,Error: No samples found in log object,v1
6,,Error: No samples found in log object,Error: No samples found in log object,v1
7,,Error: No samples found in log object,Error: No samples found in log object,v1
8,,Error: No samples found in log object,Error: No samples found in log object,v1
9,,Error: No samples found in log object,Error: No samples found in log object,v1
10,,Error: No samples found in log object,Error: No samples found in log object,v1
