run_number,average_bic,bic_control,bic_cocaine,model_specification,model_summary,version,omega_recovery,k_recovery,b0_recovery,b1_recovery,a_recovery,b_recovery,sigma_recovery,b_bias_recovery,b_fair_recovery,lambda_param_recovery,mu_recovery,beta_recovery,p0_recovery,p1_recovery,beta0_recovery,beta1_recovery,sigma_error_recovery,delta_recovery,gamma_recovery,alpha_recovery,betaF_recovery,delta2_recovery,delta3_recovery,intercept_recovery,beta_param_recovery,theta0_recovery,theta1_recovery
19,5.823945001688559,,,proposed_perc = intercept + beta_param * ((token_opp - token_self) / (token_opp + token_self)),A linear fairness model where the predicted offer percentage is computed as a baseline intercept plus a weighted normalized token difference. The normalized difference between opponent and participant tokens adjusts the baseline (assumed to be fair when contributions are equal) to capture inequity aversion.,v11,,,,,,,,,,,,,,,,,,,,,,,,0.999999999999989,0.9999999999999737,,
6,14.059301594364829,,,proposed_perc = (1 - lambda_param)*b0 + lambda_param*100*(token_opp/(token_self+token_opp)),A weighted-average model that predicts the proposed percentage offer to the opponent based on a fairness ratio (token_opp divided by total tokens) and a baseline offer. Two learnable parameters—a baseline offer (b0) and a fairness weight (lambda_param)—yield a convex combination of the baseline and the fairness ideal.,v11,,,0.9668023163784651,,,,,,,0.999979154427409,,,,,,,,,,,,,,,,,
15,16.14392325989773,,,proposed_perc_pred = alpha + beta*(token_opp/(token_self+token_opp)),"A linear regression model predicting the proposer’s percentage offer based on the fairness ratio computed from the token contributions. It uses two learnable parameters: a baseline intercept (alpha) and a fairness sensitivity parameter (beta), with generous finite bounds to enable robust parameter recovery.",v11,,,,,,,,,,,,0.9999999999999231,,,,,,,,0.9999999999999287,,,,,,,
2,18.874417559969107,,,proposed_perc_hat = b0 + b1 * ((token_opp - token_self) / (token_opp + token_self)),A linear fairness model predicting proposed percentage allocations based on the normalized difference between opponent and self token contributions. It incorporates a baseline fairness level and an imbalance sensitivity parameter with generous finite numerical bounds while using only essential task variables.,v11,,,0.9999999999999948,0.9999999999999915,,,,,,,,,,,,,,,,,,,,,,,
4,20.207204636359744,,,proposed_perc_pred = b + a * ( token_opp / (token_self + token_opp) ),A linear model predicting the proposer's offer percentage based on the opponent’s proportional token contribution. The model uses two learnable parameters—an intercept and a slope—to map the fairness ratio (token_opp divided by the sum of token_self and token_opp) to the proposed percentage offer.,v11,,,,,0.9999999999999786,0.9999999999999736,,,,,,,,,,,,,,,,,,,,,
12,29.12293791451187,,,proposed_perc = 50 + delta + 100 * gamma * ((token_opp) / (token_self + token_opp) - 0.5),"A linear fairness model predicting the proposer’s percentage offer. Centered on a baseline of 50%, the model adjusts the offered percentage using an additive bias (delta) and a multiplicative fairness sensitivity (gamma) applied to the centered ratio of the opponent's tokens versus the total tokens.",v11,,,,,,,,,,,,,,,,,,0.9999999999999895,0.9999999999999929,,,,,,,,
14,33.94747138579317,,,proposed_perc = delta + lambda_param*(token_opp/(token_self+token_opp)-0.5)*100,"A simple fairness-based linear model that predicts the percentage proposed to an opponent. The model uses the ratio of opponent tokens to total tokens to compute a deviation from a baseline fairness offer (delta). This deviation is scaled by a sensitivity parameter (lambda_param) and added to the baseline, yielding a prediction for the proposed percentage.",v11,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
8,35.96121168887481,,,proposed_perc = p0 + p1*((token_opp/(token_self+token_opp))-0.5),A parsimonious linear model predicting the proposer’s percentage offer as a base value (p0) adjusted by a sensitivity (p1) to the deviation of the opponent's contribution proportion (token_opp divided by total tokens) from an equal split.,v11,,,,,,,,,,,,,0.9999999999999963,0.9999999999998047,,,,,,,,,,,,,
7,45.108732810203065,,,proposed_perc = mu + 100*(token_opp + beta*(token_opp - token_self))/(token_self + token_opp),"A parsimonious linear model that predicts the proposer’s percentage offer based on fairness cues from the observed token counts, incorporating a baseline bias (mu) and a sensitivity parameter (beta) to capture deviations driven by token imbalance.",v11,,,,,,,,,,,0.9999999999999996,1.0,,,,,,,,,,,,,,,
13,110.84520195373555,,,proposed_perc = alpha + betaF*(100*token_opp/(token_self+token_opp)) + delta2*I(trial_type=2) + delta3*I(trial_type=3),"A linear model predicting the percentage proposed to the opponent. The model computes a fairness ratio from the opponent’s token count relative to total tokens and scales it by a sensitivity parameter, adds a baseline intercept, and includes trial-type specific adjustments for conditions where contributions are unequal.",v11,,,,,,,,,,,,,,,,,,,,0.9999999999885435,0.9999999999860687,0.9999999999941264,0.999999999989805,,,,
