run_number,average_bic,bic_control,bic_cocaine,model_specification,model_summary,version,alpha_recovery,beta_inequity_recovery,beta_adv_inequity_recovery,beta_equity_recovery,gamma_recovery,delta_loss_recovery,opponent_dominance_penalty_recovery,beta_mon_disadv_recovery,beta_advantageous_mon_dominance_recovery,expectation_penalty_recovery,theta_penalty_recovery,rel_prop_unfairness_weight_recovery,beta_envy_recovery,beta_effortLoss_recovery,beta_proportional_recovery,c_recovery
9,30.756923372005172,,,"U = alpha * split_self - expectation_penalty * max(((token_self / (token_self + token_opp)) * combined_earning - split_self), 0)",A linear expectation-based utility model combining absolute monetary payoff (scaled by alpha) with a linear penalty for receiving less monetary payoff than expected based on proportional token contributions (scaled by expectation_penalty). This explicitly models responder sensitivity to violations of proportional expectation-based fairness.,v0,0.7884568935343184,,,,,,,,,0.8591585882511301,,,,,,
5,31.02825541230998,,,"U = alpha * split_self - delta_loss * max((3 * token_self - split_self), 0)","A linear utility model capturing responder utility with two distinct psychological components: absolute monetary self-interest benefit (scaled by alpha), and a fairness-related penalty if the offer does not match the participant's actual absolute contribution to the shared pot, scaled by delta_loss. Specifically, utility decreases if the absolute payoff received falls below the participant's original token-based contribution (valued at £3 per token). This model explicitly emphasizes absolute ""ownership"" fairness rather than proportional or heuristic equity.",v0,0.8116858581960569,,,,,0.854200298209865,,,,,,,,,,
7,31.381471598971157,,,"U = alpha * split_self - beta_mon_disadv * max(split_opp - split_self, 0)","A linear utility model for responder behavior combining absolute monetary self-interest (""alpha"") and linear sensitivity to disadvantageous monetary outcomes (""beta_mon_disadv""). The model explicitly penalizes absolute monetary disadvantage, when responders receive strictly less money than their opponents, independently of proportionality or absolute contributions.",v0,0.8479251472950095,,,,,,,0.8476993240379843,,,,,,,,
12,31.384325134632306,,,U = alpha * split_self - beta_envy * split_opp,A linear utility model capturing responder behavior determined by absolute monetary self-interest and opponent envy. Participants gain utility proportional to their own monetary payoffs (scaled by alpha) and experience negative utility directly proportional to absolute monetary payoffs awarded to their opponent (scaled by beta_envy). This explicitly tests whether responders systematically penalize high absolute opponent payoffs independently of proportional fairness or equality.,v0,0.7533232009675148,,,,,,,,,,,,0.7848689850479962,,,
11,31.446116784861577,,,"U = alpha * split_self - rel_prop_unfairness_weight * (max(((token_self / (token_self + token_opp)) * combined_earning - split_self), 0) / ((token_self / (token_self + token_opp)) * combined_earning))","A utility model combining absolute monetary self-interest utility (scaled by alpha) with a relative proportional unfairness penalty. This unfairness penalty is proportional to the relative shortfall from the responder's expected proportional entitlement based on tokens contributed. Participants experience reduced utility if the amount received falls below their fair share, with the reduction scaled by a learnable penalty parameter (rel_prop_unfairness_weight).",v0,0.8903002372954298,,,,,,,,,,,0.8747962754747117,,,,
13,31.91872336347605,,,"U = alpha * split_self - beta_effortLoss * max(1 - (split_self / (3 * token_self)), 0)","A linear absolute-effort-fairness model predicting responder utility from the absolute monetary payoff received scaled by alpha, combined with a penalty (beta_effortLoss) applied to offers falling below the responder's absolute ""effort expectation"". Effort expectation is defined explicitly as the monetary value of the responder's token contribution (each token valued at £3). Responders linearly penalize offers paying strictly below their individual absolute effort contributed (ratio < 1).",v0,0.7682655165714042,,,,,,,,,,,,,0.6931967219447244,,
1,32.313398129961634,,,"U = alpha * split_self - beta_inequity * max((token_self / (token_self + token_opp)) - (splitperc_self / 100), 0)","A linear utility model capturing responder behavior based on absolute self-interest and disadvantageous inequity aversion. Participants gain proportional utility from the absolute monetary offer (weighted by ""alpha""), and incur negative utility proportional to disadvantageous inequity (weighted by ""beta_inequity""). The inequity component penalizes offers lower than proportional fairness based on tokens contributed.",v0,0.8158523992793657,0.7460378482900832,,,,,,,,,,,,,,
4,33.27089971692903,,,U = alpha * split_self - gamma * abs(splitperc_self - 50),"A heuristic fairness utility model combining absolute monetary payoffs (scaled by alpha) with a penalty for deviations from an equal 50%-50% outcome (scaled by gamma). The model explicitly tests whether responders utilize a fixed intrinsic fairness heuristic, penalizing any departure away from perfect equality independently of individual token contributions.",v0,0.47851937152503327,,,,0.7333909443492271,,,,,,,,,,,
3,33.78274620257657,,,U = alpha * split_self - beta_equity * abs((splitperc_self / 100) - (token_self / (token_self + token_opp))),"A linear utility model combining self-interest (monetary payoff to self, scaled by alpha) and general fairness sensitivity (scaled by beta_equity). The fairness component penalizes any deviation (both advantageous and disadvantageous inequities equally) from the participant's proportional contribution to the group pot. This captures absolute self-interest and fairness motivations with two learnable parameters.",v0,0.7551130969532376,,,0.48531841582287644,,,,,,,,,,,,
10,33.89427359734884,,,U = alpha * split_self - theta_penalty * I(((token_self / (token_self + token_opp)) - (splitperc_self / 100)) > 0.10),A threshold-based fairness penalty model combining absolute monetary payoff (scaled by alpha) with a discrete fairness penalty (theta_penalty) triggered only if the responder receives an offer at least 10% worse than their proportional contribution. This model explicitly tests whether responders possess a tolerance threshold for unfairness rather than a strictly linear fairness sensitivity.,v0,0.8090301140328766,,,,,,,,,,0.8316934292412124,,,,,
