run_number,average_bic,model_specification,model_summary,timestamp,mu_recovery,lambda_param_recovery,gamma_recovery,μ_recovery,λ_recovery
9,30.4236540492718,"Let r = combined_earning × (token_self/(token_self + token_opp))
U = μ + ln(split_self) – λ × max{ ln(r) – ln(split_self), 0 }","A logarithmic utility model for responders that compares the logarithm of the offered monetary share to the logarithm of a fairness benchmark computed from token contributions. The utility is given by an additive baseline bias plus the log offer, with a penalty (scaled by a fairness sensitivity parameter) applied when the offer is below the fair share.",20250128_154445,,,,0.8882642398680476,0.7452554583268612
3,30.720451816094016,U = mu + split_self - lambda_param * |(combined_earning * (token_self / (token_self + token_opp))) - split_self|,"A fairness-based utility model for responders that calculates the utility of accepting an offer as the sum of the offered monetary share and a baseline bias, minus a linear penalty for any deviation (in absolute terms) from a fairness benchmark determined by the participant’s relative token contribution. Two learnable parameters (mu and lambda_param) calibrate the overall bias and sensitivity to inequity.",20250128_154445,0.7244368665729877,0.6698131724245773,,,
13,32.24973063757358,"Let r = combined_earning × (token_self / (token_self + token_opp))
U = mu + split_self − lambda_param × ((max(r − split_self, 0))² / r)","A fairness-normalized quadratic utility model for responders. The utility of accepting an offer is given by a baseline bias (mu) plus the offered share, from which a penalty is subtracted if the offer falls short of the fairness benchmark (defined by token proportions). The penalty scales with the square of the shortfall normalized by the fair share, with lambda_param controlling sensitivity.",20250128_154445,0.7960619078525117,0.6827106215329408,,,
6,39.504899105260115,"Let r = combined_earning * (token_self / (token_self + token_opp))
Let error = |split_self - r| / r
U = mu + split_self - lambda_param * ln(1 + error)","A reference-dependent, logarithmic fairness model for responder evaluations. The model computes a baseline-adjusted offered share and subtracts a penalty that increases with the relative deviation from a fairness benchmark derived from token contributions. Two learnable parameters, mu and lambda_param, determine baseline utility and sensitivity to fairness deviations.",20250128_154445,0.7615574060614343,0.23430419311807588,,,
5,42.35811169260152,"Let r = combined_earning * (token_self / (token_self + token_opp))
Let gap = max(r - split_self, 0)
Then, the utility is given by:
  U = mu + split_self - lambda_param * ln(1 + gap)",A utility model for responders where the offered share is augmented by a baseline bias and diminished by a logarithmically scaled penalty whenever the offer falls short of a fairness benchmark computed from token contributions. The model includes two learnable parameters: a baseline bias (mu) and a fairness sensitivity (lambda_param). This structure uses available monetary and token data to infer the fairness gap and its impact on responder utility.,20250128_154445,0.9153393690053836,0.4687225683553184,,,
2,45.038627759918896,U = mu + split_self - lambda_param * (combined_earning * (token_self / (token_self + token_opp)) - split_self)^2,"A fairness-sensitive utility model for responders that calculates the utility of accepting an offer as the sum of the offered monetary share and an intercept, reduced by a quadratic penalty for deviations from a fair share based on token contributions. Two learnable parameters (mu and lambda_param) are used to adjust baseline acceptance bias and sensitivity to fairness deviations.",20250128_154445,0.8805992160072723,0.39378170476858776,,,
20,45.36140274285818,"Let 
  r = combined_earning × (token_self / (token_self + token_opp))
Then, the utility of accepting an offer is given by:
  U = mu + split_self − lambda_param × (token_opp / (token_self + token_opp)) × |split_self − r|","The model computes a fairness benchmark (r) as the participant’s proportional share of the combined earning based on token contributions. The utility of accepting an offer is the sum of a baseline preference (mu) and the offered monetary share (split_self), minus a penalty that is proportional to the absolute deviation of the offer from the fairness benchmark. This penalty is weighted by the relative contribution of the opponent (token_opp/(token_self+token_opp)), reflecting increased sensitivity to unfairness when the opponent’s contribution is high. Only two parameters (mu and lambda_param) are learned.",20250128_154445,0.8840098392610869,-0.049397801733135245,,,
4,48.131679163543986,"Let 
  r = combined_earning * (token_self / (token_self + token_opp))
  diff = split_self - r

Then the utility of accepting an offer is given by:

  U = { (diff)^gamma    if diff ≥ 0 
      - lambda_param * ((-diff)^gamma)  if diff < 0 }","A prospect theory–inspired utility model for responders that measures deviations from a fairness benchmark based on token contributions. The model transforms the difference between the offered split and the fair share with a non‐linear power function. Gains (offers above fairness) are valued with diminishing sensitivity (exponent parameter gamma), whereas losses (offers below fairness) are further penalized by a loss‐aversion factor (lambda_param). This yields a utility, which when negative indicates an unlikely action.",20250128_154445,,0.7066631891408373,0.43297711038454584,,
11,67.63512228227661,"Let r = combined_earning × (token_self / (token_self + token_opp))
U = mu + split_self × (split_self / r)^(lambda_param)","A fairness-driven responder utility model in which the fairness benchmark is computed from token contributions. The offered monetary share is multiplicatively adjusted by a power transformation of the ratio between the offer and the fairness benchmark, with an additive baseline parameter. Two learnable parameters (mu and lambda_param) determine baseline acceptance bias and sensitivity to fairness deviations.",20250128_154445,0.38700135571994304,0.07368940897478032,,,
1,70.3672841130665,"U = mu + split_self - lambda_param * max((combined_earning * (token_self / (token_self + token_opp))) - split_self, 0)","A model of responder behavior based on fairness considerations. The fair share is determined by the participant’s relative token contribution, and the utility of accepting an offer is computed as the offered monetary amount combined with an overall bias, reduced by a penalty proportional to any shortfall relative to the fair share. Two learnable parameters (mu and lambda_param) calibrate baseline utility and sensitivity to inequity.",20250128_154445,0.8849528928390058,0.5824548712444066,,,
